word,synonym
mix,miscegenate
imbue,infuse
imbue,suffuse
imbue,transfuse
imbue,infiltrate
imbue,dash
imbue,tinge
imbue,tincture
imbue,season
imbue,sprinkle
imbue,besprinkle
imbue,attemper
imbue,medicate
imbue,blend
imbue,cross
imbue,alloy
imbue,amalgamate
imbue,compound
imbue,adulterate
imbue,sophisticate
imbue,infect
mixed,implex
mixed,composite
mixed,half
mixed,and
mixed,half
mixed,linsey
woolsey,chowchow
woolsey,hybrid
woolsey,mongrel
woolsey,heterogeneous
woolsey,promiscuous
woolsey,indiscriminate
woolsey,miscible
among,amongst
among,amid
among,amidst
among,with
among,crowd
purity,homogeneity
elimination,sifting
sift,winnow
sift,bolt
sift,eliminate
sift,exclude
sift,clear
sift,Adj
uniform,homogeneous
uniform,single
uniform,pure
uniform,sheer
uniform,neat
unmixed,unmingled
unmixed,unblended
unmixed,uncombined
unmixed,uncompounded
unmixed,elementary
unmixed,undecomposed
unmixed,unadulterated
unmixed,unsophisticated
unmixed,unalloyed
unmixed,untinged
unmixed,unfortified
unmixed,incomplex
joining,joinder
joining,conjunction
joining,conjugation
joining,annexion
joining,annexation
joining,annexment
joining,astriction
joining,attachment
joining,compagination
joining,vincture
joining,ligation
joining,alligation
joining,accouplement
joining,inosculation
joining,symphysis
joining,anastomosis
joining,confluence
joining,communication
joining,concatenation
joining,meeting
joining,reunion
joining,copulation
joining,sex
